Application Number,Title,Abstract,Application Date,Classification,Country Name (Priority),Priority Number,Priority Date,Earliest Priority Date,Application Type (ID)
P49/2007,"Precast Concrete Box Culvert Using Grout Injection Method and Dual Directional Anchoring System, Assembling Structure and Method in Precast Concrete Box Culvert",,2007-01-17,E03F 3/04,,,,2007-01-17,5
P47/2007,Hygiene insulator,,2007-01-17,A47K 13/14,,,,2007-01-17,5
P120/2007,Government Portfolio,,2007-02-08,G06Q 20/00,,,,2007-02-08,5
P102/2007,"A Self-Display RFID Storage Chip With Processor, A Display Unit and/or Bluetooth Technology to Send/Receive Data",,2007-02-04,G06F 21/35,,,,2007-02-04,5
P115/2007,BINDING ELEMENT,,2007-02-06,B32B 7/12,,,,2007-02-06,5
P251/2007,Wheel Barrow,,2007-03-22,B62B 1/00,,,,2007-03-22,5
P200/2007,METHOD AND SYSTEM FOR TRANSMISSION OF SEISMIC DATA,,2007-03-05,G06F 19/00,,,,2007-03-05,5
P254/2007,Interlock bricks on top finishing with Marble or granite or tiles and others,,2007-03-25,E04C 1/00,,,,2007-03-25,5
P238/2007,TREATMENT OF SEVERE COMMUNITY-ACQUIRED PNEUMONIA BY ADMISTRATION OF TISSUE FACTOR PATHWAY INHIBITOR,,2007-03-18,A61K 38/00,,,,2007-03-18,5
P327/2007,ADD CHARACTORS AND LETTERS TO TELEPHON NUMBERS,,2007-04-17,G06F 3/00,,,,2007-04-17,5
P369/2007,A lighting arrangement,,2007-04-29,F21V 21/00,,,,2007-04-29,5
P326/2007,HANGING VILLAS,,2007-04-16,E04G 3/00,,,,2007-04-16,5
P329/2007,FLOATING DRY DOCK SYSTEM,,2007-04-17,B63C 1/02,,,,2007-04-17,5
P457/2007,SOLID FORMULATIONS OF LIQUID BIOLOGICALLY ACTIVE AGENTS,,2007-05-29,A61K 31/00,,,,2007-05-29,5
P451/2007,"WHOLLY AUTOMATED MOBILE DEVICE AND CORRESPONDING FAST, ECONOMICAL AND COMPACT METHOD FOR PARKING PRIVATE VEHICLES",,2007-05-27,E04H 6/28,,,,2007-05-27,5
P452/2007,Control of floats and pontoons weight after marina installation,,2007-05-28,E01D 15/14,,,,2007-05-28,5
P413/2007,THREE DIMENSION COLLAPSIBLE LAMP SHADE,,2007-05-14,F21V 1/06,,,,2007-05-14,5
P506/2007,Watercraft,,2007-06-13,B63H 21/00,,,,2007-06-13,5
P505/2007,"IMPROVEMENT OF SYSTEM FOR BUILDING STRUCTURES OF REINFORCED CONCRETE AND OTHER MATERIALS USING HIGH PRECISION MODULAR, INTEGRAL COFFERING",,2007-06-12,E04B 1/16,,,,2007-06-12,5
P544/2007,Interlock Block,,2007-06-19,"E04B 2/02, E04C 1/39",,,,2007-06-19,5
P582/2007,Processing method for fully recycling garbage,,2007-06-27,C05F 9/00,,,,2007-06-27,5
P632/2007,ENHANCED WELLBORE ELECTRICAL CABLES,,2007-07-12,H01B 7/04,,,,2007-07-12,5
P624/2007,STUD WITH LENGTHWISE INDENTED RIBS AND METHOD,,2007-07-09,B21D 13/10,,,,2007-07-09,5
P639/2007,Wristband/Wristwatch with RFID Storage CHIP for Hajj Pilgrims,,2007-07-16,A61B 19/00,,,,2007-07-16,5
P836/2007,Can Structure,,2007-09-16,B21D 51/26,,,,2007-09-16,5
P823/2007,A TRANSACTION VERIFICATION SYSTEM,,2007-09-11,G06Q 30/00,,,,2007-09-11,5
P809/2007,Stocks market game,,2007-09-06,A63F 3/00,,,,2007-09-06,5
P858/2007,TOBACCO CARTRIDGE PARTICULARLY FOR USE WITH NARGHILES,,2007-09-18,A24D 1/14,,,,2007-09-18,5
P837/2007,PORTABLE A/C,,2007-09-16,F24D 19/00,,,,2007-09-16,5
P1006/2007,The Traffic Safety game,,2007-11-01,A63F 3/00,,,,2007-11-01,5
P972/2007,Wireless communication Alengmi,,2007-10-24,H04B 1/00,,,,2007-10-24,5
P961/2007,Segmented Brake Light,,2007-10-21,B60Q 1/44,,,,2007-10-21,5
P1038/2007,NANA SHOWER,,2007-11-12,A47K 3/28,,,,2007-11-12,5
P1107/2007,"Integrated System for Receiving, Bag Breaking and Sorting Municipal Waste.",,2007-11-27,B03B 9/06,,,,2007-11-27,5
P1006/2007,The Traffic Safety game,,2007-11-01,A63F 3/00,,,,2007-11-01,5
P1110/2007,CRAB BLOCK,,2007-11-29,E04B 5/00,,,,2007-11-29,5
P1152/2007,Improvements in or relating to organic matter,,2007-12-12,C07C 47/228,,,,2007-12-12,5
P721/2007,Ablution Basin,,2007-12-08,A47K 1/00,,,,2007-12-08,5
P1220/2007,Data Storage Method,,2007-12-30,G11C 16/10,,,,2007-12-30,5
P1040/2007,Method of Manufacturing High-Purity Pentaerythritol,,2007-12-11,C07C 29/38,,,,2007-12-11,5
P11/2008,A method of securing large facing&#39;panets toretnforced soil where it is known or suspected that the connections with the soil &#39;reinforcing strips are corroded away or below serviceability levels.,,2008-01-02,B65D 88/76,,,,2008-01-02,5
P72/2008,MULTI-CHAMBER HEAT ACCUMULATOR WHICH IS USED TO STORE THERMAL ENERGY AND TO PRODUCE ELECTRIC ENERGY,,2008-01-23,F28D 20/00,,,,2008-01-23,5
P13/2008,A mechanical method for repairing the connections between concrete facing panels used for reinforced soil retaining walls and the polymeric stripe used for soil reinforcement.,,2008-01-02,B65D 88/76,,,,2008-01-02,5
P50/2008,New Configuration of Building Integrated Photo-Voltaics ( BIPV to Optimize its Output Power Gain Hot Climate Condition,,2008-01-17,B28B 5/00,,,,2008-01-17,5
P49/2008,Heatable Container,,2008-01-17,A47J 36/06,,,,2008-01-17,5
P14/2008,DRAG RACING ROLLER COASTER AMUSEMENT RIDE AND LAUNCH SYSTEM,,2008-01-03,"A63G 21/00, A63G 7/00, A63G 25/00",,,,2008-01-03,5
P12/2008,A novel way of engineering a &lsquo;repair for &#39;a soil reinforced structure where the facing panels are sound but the soil reinforcing material has lost its integrity along with its connections to the facing panels .,,2008-01-02,B65D 88/76,,,,2008-01-02,5
P9/2008,A NOVEL APPROACH TO MODERATE WEATHER CONDITIONS BY EXPLOITING HEAT PIPE TECHNIQUE,,2008-01-02,F23L 15/00,,,,2008-01-02,5
P160/2008,ROUNDAND/OR OVAL SHAPED,,2008-02-14,B63B 35/44,,,,2008-02-14,5
P184/2008,Building Elements,,2008-02-25,E04B 1/76,,,,2008-02-25,5
P150/2008,Gas Exchange Valve Having Corrosion Protection Layer,,2008-02-11,B23K 9/04,,,,2008-02-11,5
P144/2008,Cigarette Vending Machine (CVM),,2008-02-10,G07F 11/16,,,,2008-02-10,5
P161/2008,PERFUME BOTTLE SEALING STRUCTURE,,2008-02-14,B65D 51/18,,,,2008-02-14,5
P297/2008,Generaing electricity and desalinating water using hydraulic power and solar power and chimneys,,2008-03-26,B01D 61/06,,,,2008-03-26,5
P205/2008,Configurations and Methods for Acid Gas Absorption and solvent Regeneration,,2008-03-02,B01D 47/00,,,,2008-03-02,5
P276/2008,A Novel modification to Diesel Engine by Using Heat P,,2008-03-23,F01N 3/28,,,,2008-03-23,5
P290/2008,"Sensor for Detecting and/or Measuring a Concentration of Electrical Charges contained in an Environment, and Corresponding method of Detecting and/or measuring Thereof",,2008-03-25,G01N 27/414,,,,2008-03-25,5
P337/2008,A Portable Handy Device Checker for Pager Parking,,2008-04-06,G07F 9/00,,,,2008-04-06,5
P366/2008,Paving Brick Assembly,,2008-04-15,E01C 5/00,,,,2008-04-15,5
P368/2008,PAID PARKING KEYCHAIN,,2008-04-16,G06K 19/077,,,,2008-04-16,5
P384/2008,A Mechanical method for repairing the connection between concrete facing panels used for reinforced soil retaining walls and the polymeric strip used for soil reinforcement.,,2008-04-20,E02D 17/20,,,,2008-04-20,5
P382/2008,A Method of Securing large facing panels to reinforced soil where it is known or suspected that the connections with the soil reinforcing stripe are corroded away or below serviceability levels.,,2008-04-20,E02D 17/04,,,,2008-04-20,5
P462/2008,Beach Basket Cloth Changer,,2008-05-08,A47C 4/28,,,,2008-05-08,5
P454/2008,Electrical Power Distribution System,,2008-05-08,H02H 3/00,,,,2008-05-08,5
P459/2008,HANDHELD VACUUM SUCTION DEVICE,,2008-05-08,B65B 31/04,,,,2008-05-08,5
P545/2008,PROPELLING SYSTEM FOR BOAT,,2008-06-01,B63H 5/14,,,,2008-06-01,5
P484/2008,MIM SPLINT,,2008-05-15,"A61F 5/10, A61F 5/058",,,,2008-05-15,5
P593/2008,Water desalination and heating set using solar energy and curved lens with glass or (transparent) tube system,,2008-06-19,C02F 1/04,,,,2008-06-19,5
P564/2008,NEMATODE CONTROL AGENT,,2008-06-11,A01N 35/04,,,,2008-06-11,5
P556/2008,Sensor gas pipe,,2008-06-08,G01N 27/407,,,,2008-06-08,5
P545/2008,PROPELLING SYSTEM FOR BOAT,,2008-06-01,B63H 5/14,,,,2008-06-01,5
P526/2008,Current tube,,2008-06-17,There are no classifications,,,,2008-06-17,5
P627/2008,D.DESIGN ADV.BOARD,,2008-06-25,B32B 27/06,,,,2008-06-25,5
P565/2008,TIKBOX,,2008-06-12,A47K 10/08,,,,2008-06-12,5
P643/2008,Head block and container crane comprising such head block,,2008-06-29,B66C 1/00,,,,2008-06-29,5
P658/2008,Tactile Ground Surface Indicator,,2008-07-06,"G01V 9/00, E21B 49/00",,,,2008-07-06,5
P668/2008,LIQUID CONTANER,,2008-07-09,B01D 46/00,,,,2008-07-09,5
P701/2008,AURORA CURTAIN GENERATION DEVICE AND AURORA CURTAIN GENERATION METHOD,,2008-07-17,B01J 19/08,,,,2008-07-17,5
P696/2008,SHOWER TRAY,,2008-07-16,A47K 3/16,,,,2008-07-16,5
P665/2008,Item of luggage,,2008-07-09,A45C 13/06,,,,2008-07-09,5
P831/2008,EFFICIENT PROCESS FOR THE PREPARATION OF EPOXIDES BY &lrm;OXIDATION OF OLEFINES IN THE HOMOGENEOUS GAS PHASE,,2008-08-20,C07D 301/06,,,,2008-08-20,5
P832/2008,PART MUSIC IN CARD,,2008-08-21,G07F 17/32,,,,2008-08-21,5
P826/2008,Improved Rotary Roller Reamer,,2008-08-20,E21B 10/26,,,,2008-08-20,5
P988/2008,A SYSTEM AND METHOD TO LOCATE AND IDENTIFY THE PASSENGER IN AIRPORT PREMISES,,2008-09-28,G06Q 10/08,,,,2008-09-28,5
P949/2008,Gravity and centrifugal force bolstered vortex,,2008-09-21,B05C 1/02,,,,2008-09-21,5
P917/2008,"METHOD OF AND TOOLS FOR JOINING, REPAIRING AND MAINTENAINING INSULATING LINE PIPES.",,2008-09-10,B23K 31/02,,,,2008-09-10,5
P983/2008,A Tubular Cracking Furance,,2008-09-28,"B23P 11/00, C10G 9/20, F28F 13/12",,,,2008-09-28,5
P1102/2008,Portable Stamp,,2008-10-30,"A44C 9/00, B41K 1/02",,,,2008-10-30,5
P1101/2008,DVD PLAYER WITH FUNCTION OF DISPLAYING MULTINATIONAL TEXT-TYPE SUBPICTURE SIMULTANEOUSLY,,2008-10-30,"H04N 5/445, H04N 5/775, H04N 21/43",,,,2008-10-30,5
P1031/2008,PRECISION CERAMIC WHETSTONE,,2008-10-14,B24B 3/00,,,,2008-10-14,5
P1168/2008,Opeating lights and warning at the rears of the trailers without extending wires from the vehicles electrical wirin,,2008-11-18,B60Q 1/44,,,,2008-11-18,5
P1127/2008,"NEW CRYSTALLINE FORM VI OF AGOMELATINE, ‎ A PROCESS FOR ITS PREPARATION AND ‎PHARMACEUTICAL COMPOSITIONS CONTAINING IT",,2008-11-09,"C07C 233/05, A61K 31/16",,,,2008-11-09,5
P1180/2008,DOUBLE-WALLED PANEL FOR BUILDING,,2008-11-20,E04B 1/94,,,,2008-11-20,5
P1115/2008,"SPRING-LOADED SECONDARY SEAL FOR FLOATING-ROOF STORAGE TANK, LIQUID STORAGE TANK AND METHOD FOR INSTALING A SECONDARY SEAL IN A LIQUID STORAGE TANK",,2008-11-04,B65D 88/46,,,,2008-11-04,5
P1293/2008,Hydraulically Setting Sealing Composition,,2008-12-22,"C04B 28/08, C04B 28/04, C04B 28/06",,,,2008-12-22,5
P1301/2008,Electricity Production System (ENFOHUT),,2008-12-29,B01D 53/02,,,,2008-12-29,5
P26/2009,BABY PROTECTION SEAT IN THE CAR,,2009-01-12,G09G 1/00,,,,2009-01-12,5
P80/2009,PRODUCT FOR THE TREATMENT OF CANER,,2009-01-29,A61K 33/06,,,,2009-01-29,5
P50/2009,Method for the enzymatic production of 2-hydroxy-2-methyl carboxylic acids,,2009-01-19,C12N 9/00,,,,2009-01-19,5
P112/2009,Self Charging Electric Vehicle with Zero Emission,,2009-02-09,There are no classifications,,,,2009-02-09,5
P133/2009,Digital Broadcast Multiplexing Apparatus,,2009-02-15,H04H 20/18,,,,2009-02-15,5
P122/2009,CROWN MECHANISM( diverter of the liner reciprocating motion to continues rotational motion),,2009-02-11,B60K 25/08,,,,2009-02-11,5
P147/2009,Method and system for advertising on the mobile main screen by CBS Technology,,2009-02-19,G06Q 30/00,,,,2009-02-19,5
P326/2009,GRC READYMADE PREFABRICATED BATHROOM UNITS (PODS),,2009-04-12,"E03C 1/12, E04H 1/12",,,,2009-04-12,5
P319/2009,Facility to generate electricity using sea water in the form of dam,,2009-04-09,F03B 17/06,United States of America,12/099520,2008-04-08,2008-04-08,5
P388/2009,Ruler Prince Reza (one thousand images),,2009-04-30,B42D 15/10,,,,2009-04-30,5
P493/2009,ELECTRONIC TARGET,,2009-05-28,A63F 13/795,,,,2009-05-28,5
P552/2009,Device to enable lateral movement of the car,,2009-06-16,B60F 1/00,,,,2009-06-16,5
P640/2009,WATER BASED SMOKING PIPE HAVING ELECTRONIC IGNITION AND BURNING MEANS AND METHOD OF USE,,2009-07-14,A24F 1/30,,,,2009-07-14,5
P641/2009,UNIVERSAL KEYBOARD WITH TOUCH SCREEN,,2009-07-14,There are no classifications,,,,2009-07-14,5
P693/2009,Protect the plane from falling on the ground badl,,2009-08-04,B64C 27/26,,,,2009-08-04,5
P798/2009,The Rak&rsquo;ah Counter,,2009-09-03,G06F 11/30,,,,2009-09-03,5
P775/2009,New design of analogue watch shows morning time and evening time,,2009-09-02,There are no classifications,,,,2009-09-02,5
P1136/2009,SMART SHOPPING TROLLEY,,2009-12-17,B62B 3/14,,,,2009-12-17,5
P1115/2009,LCD Rector,,2009-12-10,H04M 1/02,,,,2009-12-10,5
P1147/2009,FOLDABLE DISPLAY SYSTEM,,2009-12-20,A47F 5/10,,,,2009-12-20,5
P1190/2009,HUMAN CYTOMEGALOVIRUS NEUTRALISING ANTIBODIES AND USE THEREOF,,2009-12-31,A61K 39/42,,,,2009-12-31,5
P1189/2009,Modular Platform,,2009-12-31,E04H 6/10,,,,2009-12-31,5
P47/2010,Al Athmad Cream and Shampoo,,2010-01-14,A61K 8/04,,,,2010-01-14,5
P72/2010,Hurofi Loubati,,2010-01-24,A63F 3/04,,,,2010-01-24,5
P176/2010,Support Structure for Solar Collector,,2010-02-24,There are no classifications,,,,2010-02-24,5
P111/2010,RFID PASSIVE TAG AND METHOD OF VEHICLE ATTACHMENT TO AVOID THEFT VEHICLE RE-REGISTRATION AND EXPORT EVEN THE VEHICLE IN SCRAP/DIFFERENT PARTS,,2010-02-04,G01K 1/02,,,,2010-02-04,5
P152/2010,SAFETY SELF &ndash; DESTROYING DISPOSABLE SYRINGE,,2010-02-15,A61M 5/178,,,,2010-02-15,5
P136/2010,Composite Flat Slab,,2010-02-10,E02D 29/045,,,,2010-02-10,5
P399/2010,IERC77 GOLOBAL EARTH WARMING MTIGATION MATERIAL,,2010-03-31,B01J 10/00,,,,2010-03-31,5
P205/2010,REMOTE CONTROL BRAKE SYSTEM RCBS,,2010-03-04,B60T 7/08,,,,2010-03-04,5
P395/2010,FIRGAT,,2010-03-29,G01S 13/72,,,,2010-03-29,5
P493/2010,FRESHWATER PRODUCING APPARATUS,,2010-04-27,B01D 61/04,,,,2010-04-27,5
P472/2010,Application and implementation of providing Mobile Coverage for a moving convoy using Satellite &ndash; BTS- to- BSC link,,2010-04-19,F02B 63/04,,,,2010-04-19,5
P434/2010,ATM for disable people,,2010-04-08,G06Q 20/40,,,,2010-04-08,5
P597/2010,SAFE 999,,2010-05-31,H03G 3/30,,,,2010-05-31,5
P577/2010,A System and method for Wi - Fi/WiMax for broadband access via Satellite to User Location,,2010-05-23,H04B 7/02,,,,2010-05-23,5
P598/2010,Bin Zayed - Epaper,,2010-05-31,G06F 1/16,,,,2010-05-31,5
P580/2010,Road sign,,2010-05-24,E01F 15/00,,,,2010-05-24,5
P596/2010,Formule du paracetamol liquide injectable,,2010-05-31,A61K 31/165,,,,2010-05-31,5
P657/2010,FABRIC FORMWORK STRUCTURE AND METHOD OF MANUFACTURING A FABRIC FORMWORK STRUCTURE,,2010-06-16,"E04G 11/00, E04G 11/06",,,,2010-06-16,5
P724/2010,Coating systems,,2010-06-30,"C09D 1/00, E04D 5/10",,,,2010-06-30,5
P603/2010,VERTICAL SOLAR INSECTS COLECTOR,,2010-06-02,A01M 1/22,,,,2010-06-02,5
P770/2010,HOSE COUPLING ARRANGEMENT,,2010-07-21,F16L 31/00,,,,2010-07-21,5
P771/2010,LIGHTING DEVICE WITH SENSOR,,2010-07-22,F21V 17/02,,,,2010-07-22,5
P828/2010,IMPROVED AROMATIC PAPER INCENSE AND A METHOD OF PREPARING IT,,2010-08-05,A61L 9/02,,,,2010-08-05,5
P880/2010,Camel racing robot,,2010-08-22,B25J 15/00,,,,2010-08-22,5
P823/2010,Electrification of Buildings and Roads by Recycling Waste Wind Energy of Cooling Process of Condensing Units of HVAC System,,2010-08-02,There are no classifications,,,,2010-08-02,5
P883/2010,WATER PRODUCTION FROM AIR,,2010-08-23,C02F 1/04,,,,2010-08-23,5
P1008/2010,A Novel Design of Cooling Tower with Superior Performance and independent ofgeographical location with Lower Initial &amp; Operating Costs,,2010-09-28,F25B 47/02,,,,2010-09-28,5
P983/2010,Air Cooler,,2010-09-23,F25B 47/02,,,,2010-09-23,5
P1067/2010,using upper spaes of streets for parking building and investmrnt,,2010-10-17,There are no classifications,,,,2010-10-17,5
P1072/2010,THE DYNAMIC POSITIVE LIFT SPOILER,,2010-10-19,B62D 35/00,,,,2010-10-19,5
P1068/2010,The Petroleum Institute,,2010-10-18,G01V 1/28,,,,2010-10-18,5
P1117/2010,Automatic fishing device,,2010-11-03,"A01K 69/06, A01K 85/00, A01K 97/12",,,,2010-11-03,5
P1122/2010,The Energy Wire Method,,2010-11-07,H02K 7/18,,,,2010-11-07,5
P1138/2010,Method of the Moved Center,,2010-11-14,H02J 3/14,,,,2010-11-14,5
P1130/2010,Car Trace System,,2010-11-08,G08G 1/00,,,,2010-11-08,5
P1202/2010,IZUOGU MACHINE (THE TIME-LIMITED SELF SUSTAINING EMAGNETODYNAMICS MACHINE),,2010-12-08,H02J 7/00,,,,2010-12-08,5
P1276/2010,A formula used as Cockroach Gel Baits.,,2010-12-26,A01N 25/10,,,,2010-12-26,5
P1228/2010,ENVAC AUTOMATED WASTE COLLECTION SYSTEM,,2010-12-15,B65F 5/00,,,,2010-12-15,5
P1227/2010,drvie,,2010-12-14,B60K 15/063,,,,2010-12-14,5
P1280/2010,Installation for defense or protection allowing the control of the entry of people,,2010-12-28,G01V 8/10,,,,2010-12-28,5
P96/2011,Design and Implementation of Power Supply system for communication equipment in a vehicle providing mobile service coverage for a moving Convoy using Satellite &ndash;BTS- to- BSC link.,,2011-01-30,G07C 5/00,,,,2011-01-30,5
P58/2011,The method of generating electricity power from hydraulic pressure,,2011-01-13,F03B 11/00,,,,2011-01-13,5
P95/2011,Laser or Nano Laser Engraving/coding mechanism to control on Fake Medicine/drug,,2011-01-27,B23K 26/362,,,,2011-01-27,5
P97/2011,Design of Rapidly Deployable Mast Mounting Assembly With GSM Antenna for the provision of Mobile Coverage for a moving Convoy using Satellite &ndash; BTS- to- BSC link.,,2011-01-30,G08C 17/02,,,,2011-01-30,5
P41/2011,POADS LIGHT AND UTILITY GENERAL BY SUN POWER,,2011-01-12,F03G 6/06,,,,2011-01-12,5
P152/2011,Inserting Different material &amp; objects in cement paving block.,,2011-02-20,C04B 14/10,,,,2011-02-20,5
P118/2011,Providing and recycling water in open agricultural areas,,2011-02-03,C02F 1/00,,,,2011-02-03,5
P281/2011,Title parking impact protector,,2011-03-27,B61D 39/00,,,,2011-03-27,5
P296/2011,Glass Fiber Reinforced Plastic Pipes Encased in Reinforced Concrete,,2011-03-30,F16L 9/14,,,,2011-03-30,5
P305/2011,MACHINE TO CLEAN FACADE OF A BUILDING,,2011-03-31,"A47L 1/02, A47L 11/38",,,,2011-03-31,5
P208/2011,Renewable energy to mechanical movement tanmd,,2011-03-07,B60K 6/22,,,,2011-03-07,5
P267/2011,ENERGY HARVESTER FOR LED LUMINAIRE,,2011-03-22,B08B 17/02,,,,2011-03-22,5
P236/2011,"PRODUCTION OF A NATURAL ANTIBIOTIC, AND ITS PROCESS DERIVED FROM DATE PITS DEGRADED BY FUNGI TO TREAT MICROBIAL BACTERIA OF BROILER CHICKENS",,2011-03-14,There are no classifications,,,,2011-03-14,5
P229/2011,Painting by Nature &ndash; creation of artwork/canvas/pictures by natural movement without direct physical or manual interference,,2011-03-10,There are no classifications,,,,2011-03-10,5
P345/2011,ZAD Lighting System for Carriageways,,2011-04-13,G08G 1/09,,,,2011-04-13,5
P344/2011,ZAD Carriageways Warning System for Weather Conditions,,2011-04-13,G08G 1/09,,,,2011-04-13,5
P380/2011,Apparatus used for extension of validity of turbine lubricant and other industrial oils,,2011-04-24,C10M 169/04,,,,2011-04-24,5
P379/2011,Dielectric Liquid Purification,,2011-04-24,B03C 5/00,,,,2011-04-24,5
P347/2011,Piston unit for generating electrical power through exploitation of traffic on road,,2011-04-14,B60C 19/00,,,,2011-04-14,5
P318/2011,Study of science project on reducing the rate of fog in the winter,,2011-04-06,"E01F 13/00, E01F 15/00",,,,2011-04-06,5
P394/2011,Telescopic continuous flight auger (for piles),,2011-04-24,G01B 17/00,,,,2011-04-24,5
P473/2011,Combined Air Condition and Water Heater,,2011-05-12,F24H 4/04,,,,2011-05-12,5
P457/2011,Organic Compounds,,2011-05-10,A61K 31/4192,,,,2011-05-10,5
P522/2011,Continuous bored pile(C.B.P) using hydraulic bucket,,2011-05-22,E02F 3/40,,,,2011-05-22,5
P542/2011,Healthy Toilet Seat,,2011-05-29,A47K 13/12,,,,2011-05-29,5
P543/2011,Alias legs,,2011-05-29,E06C 1/383,,,,2011-05-29,5
P681/2011,Insulated Blocks TH 30/16 &amp; TH 24/10,,2011-06-29,E04D 11/00,,,,2011-06-29,5
P640/2011,Inserting Different objects &amp; material in decorative concrete stone wall.,,2011-06-20,E04F 13/21,,,,2011-06-20,5
P602/2011,The floating car,,2011-06-15,E21B 15/00,,,,2011-06-15,5
P851/2011,SPINNING TOP,,2011-08-25,A63H 1/00,,,,2011-08-25,5
P809/2011,Umbrella solar electricity for the car moving -Naheedah,,2011-08-15,B60L 8/00,,,,2011-08-15,5
P798/2011,PREVENTION AND TREATMENT OF AMYLOIDOGENIC DISEASE,,2011-08-10,"A61K 39/00, A61K 39/395",,,,2011-08-10,5
P975/2011,Reflexology by gloves and shoes equipped with ultrasound (ultrasonic) technology massage.,,2011-09-29,A61H 15/00,,,,2011-09-29,5
P873/2011,Double Hanger,,2011-09-05,D06F 89/02,,,,2011-09-05,5
P859/2011,NEW PROCESS FOR PRODUCING INJECTABLE COMPOSITIONS BASED ON PHLOROGLUCINOL AND THE USE THEREOF,,2011-09-04,A61K 31/5415,,,,2011-09-04,5
P1038/2011,ROSE UP ALTRNATIVE MATERIAL,,2011-10-16,G06Q 10/08,,,,2011-10-16,5
P996/2011,METHOD FOR MAKING INDUSTRIAL PASTEURIZED ICE NOODLES (FALOUDEH),,2011-10-02,There are no classifications,,,,2011-10-02,5
P1077/2011,LUGGAGE,,2011-10-26,A45C 13/02,,,,2011-10-26,5
P1103/2011,K,,2011-10-31,There are no classifications,,,,2011-10-31,5
P1002/2011,Easy Pay Device,,2011-10-05,G06Q 20/12,,,,2011-10-05,5
P1209/2011,SECURING MECHANISM FOR SHACKLE,,2011-11-30,F16G 11/09,,,,2011-11-30,5
P1283/2011,filter cone of dust use force centrifuge,,2011-12-18,B01D 46/02,,,,2011-12-18,5
P1351/2011,Insurance and Registration Expiry Notification Device on Automobiles,,2011-12-29,B60R 16/023,,,,2011-12-29,5
P1297/2011,CONTAINER CLOSURE,,2011-12-22,B65D 41/04,,,,2011-12-22,5
P1268/2011,METHOD FOR PRODUCING STEEL FIBERS,,2011-12-14,B23D 31/00,,,,2011-12-14,5
P1338/2011,ACTIVE COMPOSITE GUIDANCE,,2011-12-28,B23K 26/348,,,,2011-12-28,5
P56/2012,Daif&#39;s Corneal Visual Center Localizer -Daif&#39;s CVC Localizer or Locator,,2012-01-19,G06F 3/01,,,,2012-01-19,5
P91/2012,Gravity power generating apparatus,,2012-01-29,F03G 3/02,,,,2012-01-29,5
P7/2012,Lever and Ball Electric Power Production Unit -LBEPPU,,2012-01-03,"F03B 13/18, F03G 3/00",,,,2012-01-03,5
P113/2012,Device of Determine the Level of Fluid in the Reservoirs,,2012-02-02,A01M 29/00,,,,2012-02-02,5
P112/2012,Raining Sensor Device,,2012-02-02,A01M 29/00,,,,2012-02-02,5
P160/2012,Portable advertising,,2012-02-15,G09F 13/04,,,,2012-02-15,5
P278/2012,a technology for distributing cooking gas cylinders,,2012-03-19,G06F 15/16,,,,2012-03-19,5
P222/2012,Dust Controller of Cement Factories and Rock Crushers,,2012-03-06,B28C 7/00,,,,2012-03-06,5
P337/2012,ENERGY FROM THE SEA (SEANERGY) ALTERNATIVE SUSTAINABLE ENERGY,,2012-03-28,F03B 13/14,,,,2012-03-28,5
P224/2012,Lovely Power,,2012-03-06,H02K 1/02,,,,2012-03-06,5
P223/2012,Factories Smoke Controller &amp; Filter,,2012-03-06,B28C 7/00,,,,2012-03-06,5
P417/2012,Reflexology by gloves and shoes equipped with ultrasound (ultrasonic) technology massage,,2012-04-22,A61H 15/00,,,,2012-04-22,5
P554/2012,Electronic Segment in vehicles,,2012-05-28,B60W 40/00,,,,2012-05-28,5
P558/2012,METHOD OF HEATING FOOD,,2012-05-29,A23L 1/01,,,,2012-05-29,5
P565/2012,SMART OIL SKIMMER,,2012-05-30,C02F 1/40,,,,2012-05-30,5
P708/2012,Device to show the eclipse of the sun,,2012-06-28,E04F 10/00,,,,2012-06-28,5
P636/2012,ALWAFI GENERATOR,,2012-06-14,There are no classifications,,,,2012-06-14,5
P593/2012,Magnetic filter neck,,2012-06-06,B03C 1/30,,,,2012-06-06,5
P591/2012,HYDRAULIC TEST DEVICE FOR HEAD LOSS OF STRAINER AND TEST METHOD THEREOF,,2012-06-04,G01N 3/02,,,,2012-06-04,5
P719/2012,Cool green house,,2012-06-28,There are no classifications,,,,2012-06-28,5
P744/2012,weapons stand,,2012-07-15,B08B 9/02,,,,2012-07-15,5
P750/2012,Self-generation of electricity or by (the movement of vehicles for street lighting),,2012-07-16,There are no classifications,,,,2012-07-16,5
P852/2012,A CIGARETTE FILTER CONTAINING ROSEMARY EXTRACT AND A METHOD OF REDUCING DNA DAMAGE CAUSED BY HARMFUL AGENTS IN CIGARETTE SMOKE BY USE OF SAID FILTER,,2012-08-12,A24D 3/02,,,,2012-08-12,5
P908/2012,Marketing voice Albums by flash memory device include audio playback device and FM transmitter or a Bluetooth transmitter or a combination of both.,,2012-08-27,B42F 5/02,,,,2012-08-27,5
P872/2012,Seat belt tension releaser comfortable seat belt,,2012-08-16,B60N 2/28,,,,2012-08-16,5
P986/2012,Compulsory leave safe distance between vehicles in the Rods,,2012-09-26,B60Q 1/26,,,,2012-09-26,5
P973/2012,Dynamic Billboard,,2012-09-23,G09F 3/02,,,,2012-09-23,5
